,total_fines_issued
All Other Parking Meter Violations,50816.0
Residential Parking Permit Only,31980.0
No Stopping/Standing Tow Away Zone,30420.0
No Stopping//Parking Stadium Event Camden,22440.0
In Transit Zone/Stop,18557.0
No Stop/Park Street Cleaning,8632.0
Expired Tags,3584.0
No Stopping/Standing Not Tow-Away Zone,2336.0
Less Than 15 feet from Fire Hydrant,2079.0
Passenger Loading Zone,928.0
Obstruct/Impeding Flow of Traffic,510.0
Obstruct/Impeding Movement of Pedestrian,385.0
All Other Stopping or Parking Violations,256.0
