violDate,tag,location,city,state
2014-02-14 17:35:00,941YL5,2700 EDISON HWY,Baltimore,MD
2014-09-19 20:39:00,6VAY138,3500 CHESTNUT AVE,Baltimore,MD
2014-04-28 16:20:00,6BE4149,3101 GREENMOUNT AVE,Baltimore,MD
2014-04-26 01:26:00,95726V T,4400 BELAIR RD,Baltimore,MD
2014-03-28 14:42:00,9BD7456,500 WASHINGTON ST,Baltimore,MD
2014-03-13 13:27:00,4BK3315,U/B LOT COLLINGTON AND DUNCAN,Baltimore,MD
2014-03-30 20:51:00,9AT3049,400 EDEN ST,Baltimore,MD
2014-05-10 14:17:00,JVY1976,600 BROADWAY,Baltimore,MD
2014-09-25 17:26:00,11082CF,800 36TH ST,Baltimore,MD
2014-05-25 13:08:00,1BL2768,1200 MERIDENE DR,Baltimore,MD
2014-01-16 04:12:00,6AL5139,300 RANDALL ST,Baltimore,MD
2014-10-22 09:47:00,A260616,100 TREMONT RD,Baltimore,MD
2014-04-23 09:27:00,2AR0066,5600 MIDWOOD AVE,Baltimore,MD
2014-06-23 16:42:00,85R163,U/B LOT JFA,Baltimore,MD
2014-06-18 04:25:00,1BB2786,4500 BANK ST,Baltimore,MD
2014-10-29 08:57:00,BAL3728,1200 BEAUMONT AVE,Baltimore,MD
2014-07-27 22:26:00,2BM7489,800 ALICEANNA ST,Baltimore,MD
2014-04-17 07:20:00,5CFB04,714 LOMBARD ST,Baltimore,MD
2014-01-15 19:27:00,V361XD,700 CENTRAL AVE,Baltimore,MD
2014-10-22 17:35:00,LBX977,600 BALTIMORE ST,Baltimore,MD
2014-11-03 19:42:00,GRE8306,1700 THAMES ST,Baltimore,MD
2014-08-13 20:58:00,37453CF,900 LANCASTER ST,Baltimore,MD
2014-09-22 14:38:00,9MD3876,600 PRATT ST,Baltimore,MD
2014-01-17 12:04:00,17096M6,U/B PACA ST,Baltimore,MD
2014-08-29 11:40:00,7BM5564,300 LAFAYETTE AVE,Baltimore,MD
2014-07-26 10:18:00,8AV2475,1000 FLEET ST,Baltimore,MD
2014-10-23 10:01:00,Z41757,3800 STOKES DR,Baltimore,MD
2014-12-31 14:05:00,2BG0001,700 WOLFE ST,Baltimore,MD
2014-06-25 23:49:00,1AT3190,3200 PRATT ST,Baltimore,MD
2014-06-03 16:59:00,2AK2994,400 HIGHLAND AVE,Baltimore,MD
2014-08-01 16:52:00,9AZ6827,900 LIGHT ST,Baltimore,MD
2014-05-08 15:39:00,24591CD,200 READ ST,Baltimore,MD
2014-04-16 13:00:00,6AP3154,402 HIGHLAND AVE,Baltimore,MD
2014-09-25 12:12:00,9AT5359,1000 MCCULLOH ST,Baltimore,MD
2014-12-30 11:26:00,8BD8057,3000 GUILFORD AVE,Baltimore,MD
2014-10-07 17:26:00,40108B,U/B 22ND ST,Baltimore,MD
2014-10-01 16:22:00,3BN2556,1200 LOMBARD ST,Baltimore,MD
2014-12-17 10:33:00,2BH2890,3300 CALVERT ST,Baltimore,MD
2014-04-24 08:05:00,ELZ7201,1100 CHARLES ST,Baltimore,MD
2014-03-11 13:27:00,5BC8571,U/B WHEELING ST,Baltimore,MD
2014-07-25 07:54:00,50751CA,3200 FENWICK AVE,Baltimore,MD
2014-10-30 15:31:00,405M978,800 LINDEN AVE,Baltimore,MD
2014-11-08 18:54:00,6AL4684,700 LEAKIN ST,Baltimore,MD
2014-02-10 23:04:00,XHF4556,700 CENTRAL AVE,Baltimore,MD
2014-09-16 13:33:00,CH0283,100 27TH ST,Baltimore,MD
2014-09-16 19:36:00,1BL5102,700 BROADWAY,Baltimore,MD
2014-04-30 21:19:00,1AN5359,500 WASHINGTON ST,Baltimore,MD
2014-06-23 11:35:00,7BL2442,2000 BENTALOU ST,Baltimore,MD
2014-10-15 07:44:00,8AZ2631,1000 ELLICOTT DWY,Baltimore,MD
2014-04-09 08:17:00,1BE8527,3600 FAYETTE ST,Baltimore,MD
