address,city,state,fines
2600 BLOCK OF GWYNNS FALLS PKW,Baltimore,MD,3489960
1101 CATON AVE NB,Baltimore,MD,1380760
5100 BLOCK OF WINDSOR MILL RD,Baltimore,MD,1151120
2800 BLOCK OF LOCH RAVEN BLVD,Baltimore,MD,1137720
1200 BLOCK OF N. HOWARD ST. S/,Baltimore,MD,1101880
1200 BLOCK OF N. HOWARD ST. N/,Baltimore,MD,1087720
1200 BLOCK OF E NORTHERN PKWY,Baltimore,MD,976960
2800 BLOCK OF ORLEANS ST W/B,Baltimore,MD,972040
PULASKI EB @ NORTH POINT,Baltimore,MD,921300
NORTHERN WB @ GREENSPRING,Baltimore,MD,908175
REISTERTOWN SB @ DRUID PARK,Baltimore,MD,888675
200 BLOCK OF HILTON ST. N/B,Baltimore,MD,872080
PULASKI EB @ MORAVIA,Baltimore,MD,858225
WABASH EB @ BELVEDERE,Baltimore,MD,821700
4862 ERDMAN AVE W/B,Baltimore,MD,813720
4600 BLOCK OF CHARLES ST. SB,Baltimore,MD,801120
RUSSELL SB @ BAYARD,Baltimore,MD,783825
3500 BLOCK OF HARFORD RD S/B,Baltimore,MD,778440
200 NORTHERN PARKWAY W/B,Baltimore,MD,774320
1098 CATON AVE S/B,Baltimore,MD,748280
