Description,fines,unique_locs,first_date,last_date,data_duration_years,fines_annual
Fixed Speed Camera,27826480,94,11/2/09,12/31/12 2:09 PM,3.2,8792174.65
Red Light Violation,22363875,211,7/27/99,4/1/13 9:23 PM,13.7,1633308.75
Mobile Speed Camera,13902800,131,5/25/10,4/14/13 2:28 PM,2.9,4808397.25
All Other Parking Meter Violations,11938332,12501,11/27/02,1/12/15 9:23 AM,12.1,983880.17
No Stop/Park Street Cleaning,9383332,15233,7/7/03,1/9/15 7:38 AM,11.5,814689.23
No Stopping/Standing Tow Away Zone,5660154,10261,2/15/03,1/12/15 8:32 AM,11.9,475085.67
Residential Parking Permit Only,5061070,4837,12/19/02,1/11/15 3:36 PM,12.1,419253.82
Right on Red,4728450,97,10/16/09,4/1/13 7:08 PM,3.5,1366519.89
No Stopping/Standing Not Tow-Away Zone,4490509,20185,11/20/02,1/12/15 9:34 AM,12.2,369498.38
Expired Tags,4409463,40162,7/8/03,1/12/15 10:25 AM,11.5,382653.84
No Stop/Park Handicap,2651882,2250,4/4/03,1/11/15 2:31 PM,11.8,225117.10
Abandonded Vehicle,2191360,6655,7/11/03,1/9/15 11:08 AM,11.5,190442.93
Obstruct/Impeding Movement of Pedestrian,2018201,7838,6/4/03,1/11/15 3:13 PM,11.6,173768.29
In Transit Zone/Stop,1884143,4379,1/27/03,1/12/15 7:15 AM,12.0,157454.33
No Stopping//Parking Stadium Event Camden,1624460,1303,2/21/03,1/2/15 5:54 PM,11.9,136828.92
All Other Stopping or Parking Violations,1615926,14891,3/20/03,1/11/15 2:40 PM,11.8,136682.76
Obstruct/Impeding Flow of Traffic,1119593,6398,3/20/03,1/11/15 11:37 AM,11.8,94704.90
Less Than 15 feet from Fire Hydrant,1006738,5231,7/1/03,1/12/15 7:49 AM,11.5,87228.71
"Commercial Veh/Residence under 20,000 lbs",934787,2474,7/16/03,1/10/15 1:28 PM,11.5,81320.32
Passenger Loading Zone,587960,2699,12/23/04,1/11/15 12:51 PM,10.1,58458.10
"Commercial Veh/Residence over 20,000 lbs",469164,588,5/21/05,1/9/15 9:55 PM,9.6,48641.57
Exceeding 48 Hours,375572,8412,5/17/04,1/9/15 2:41 PM,10.7,35248.49
Fire Lane/Handicapped Violation,283706,1562,12/31/02,12/31/14 11:51 AM,12.0,23626.33
Blocking Garage or Driveway,48115,1196,4/14/03,1/11/15 11:30 AM,11.8,4093.97
Less 30Â’ from Intersection,25064,533,1/20/04,9/5/12 10:44 AM,8.6,2903.12
No Stop/Stand/Park Cruising,19257,198,2/22/05,12/19/14 12:15 PM,9.8,1959.60
Less 30? from Intersection,12057,309,1/21/08,12/29/14 9:17 AM,6.9,1737.12
In Taxicab Stand,10350,208,11/12/05,12/30/14 2:37 PM,9.1,1132.72
Snow Emergency Route Violation,8360,77,2/19/03,8/16/14 3:29 AM,11.5,727.23
No Stopping or No Parking Pimlico Event,7266,55,6/4/05,12/3/14 10:07 AM,9.5,764.53
No Stopping/Parking Stadium Event Â– 33rd,17,1,4/6/12,4/6/12 9:30 AM,0.0,#DIV/0!
No Stopping/Parking Stadium Event ? 33rd,17,1,7/7/13,7/7/13 1:43 AM,0.0,#DIV/0!
